@relation pacman-weka.filters.unsupervised.attribute.Remove-R21-40-weka.filters.unsupervised.attribute.Remove-R29

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute numghost numeric
@attribute alivePacman numeric
@attribute alive_Ghost1 numeric
@attribute alive_Ghost2 numeric
@attribute alive_Ghost3 numeric
@attribute alive_Ghost4 numeric
@attribute ghost1x numeric
@attribute ghost1y numeric
@attribute ghost2x numeric
@attribute ghost2y numeric
@attribute ghost3x numeric
@attribute ghost3y numeric
@attribute ghost4x numeric
@attribute ghost4y numeric
@attribute ghost1dist numeric
@attribute ghost2dist numeric
@attribute ghost3dist numeric
@attribute ghost4dist numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
3,18,1,1,0,0,4,0,1,1,1,1,5,9,11,3,17,6,25,13,11,23,26,27,0,-1,-3,East,West
1,18,0,1,0,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,13,25,28,29,0,-1,-5,West,South
1,5,0,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,8,12,17,32,0,-1,-18,South,East
2,5,1,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,7,11,16,31,0,-1,-19,East,North
2,6,1,1,0,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,6,12,15,30,0,-1,-20,North,East
3,6,1,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,5,11,14,29,0,-1,-21,East,North
3,9,0,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,2,14,17,26,0,-1,-24,North,East
5,9,1,1,1,1,4,0,0,1,1,1,5,9,11,3,17,6,25,13,-1,12,15,24,0,-1,174,East,South
5,6,1,1,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,-1,9,12,27,0,-1,171,South,East
10,6,1,1,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,-1,4,7,22,0,-1,166,East,South
10,3,1,1,1,0,4,0,0,1,1,1,1,1,11,3,17,6,25,13,-1,1,10,25,0,-1,163,South,North
10,5,1,1,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,-1,3,8,23,0,-1,161,North,South
10,3,1,1,1,0,4,0,0,1,1,1,1,1,11,3,17,6,25,13,-1,1,10,25,0,-1,159,South,East
11,3,1,0,1,0,4,0,0,0,1,1,1,1,11,3,17,6,25,13,-1,-1,9,24,0,-1,358,East,North
11,12,1,1,0,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,12,15,0,-1,347,North,East
13,12,1,1,0,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,10,13,0,-1,345,East,South
13,6,0,1,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,4,19,0,-1,339,South,East
18,6,1,1,0,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,14,0,-1,534,East,West
14,6,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,18,0,-1,530,West,North
14,11,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,13,0,-1,525,North,East
16,11,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,11,0,-1,523,East,North
16,12,1,1,0,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,10,0,-1,522,North,East
18,12,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,8,0,-1,520,East,North
18,13,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,0,-1,519,North,East
20,13,1,0,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,0,-1,517,East,North
20,15,0,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,0,-1,515,North,East
24,15,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,3,0,-1,511,East,South
