@relation pacman-weka.filters.unsupervised.attribute.Remove-R49

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute numghost numeric
@attribute alivePacman numeric
@attribute alive_Ghost1 numeric
@attribute alive_Ghost2 numeric
@attribute alive_Ghost3 numeric
@attribute alive_Ghost4 numeric
@attribute ghost1x numeric
@attribute ghost1y numeric
@attribute ghost2x numeric
@attribute ghost2y numeric
@attribute ghost3x numeric
@attribute ghost3y numeric
@attribute ghost4x numeric
@attribute ghost4y numeric
@attribute g1_west numeric
@attribute g1_stop numeric
@attribute g1_east numeric
@attribute g1_north numeric
@attribute g1_south numeric
@attribute g2_west numeric
@attribute g2_stop numeric
@attribute g2_east numeric
@attribute g2_north numeric
@attribute g2_south numeric
@attribute g3_west numeric
@attribute g3_stop numeric
@attribute g3_east numeric
@attribute g3_north numeric
@attribute g3_south numeric
@attribute g4_west numeric
@attribute g4_stop numeric
@attribute g4_east numeric
@attribute g4_north numeric
@attribute g4_south numeric
@attribute ghost1dist numeric
@attribute ghost2dist numeric
@attribute ghost3dist numeric
@attribute ghost4dist numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
1,18,0,1,0,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,13,25,28,29,0,-1,-2,Stop,South
1,17,0,0,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,12,24,27,28,0,-1,-3,South,South
1,16,0,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,11,23,26,27,0,-1,-4,South,South
1,15,0,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,10,22,25,26,0,-1,-5,South,South
1,14,0,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,9,21,24,25,0,-1,-6,South,South
1,13,0,0,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,8,20,23,24,0,-1,-7,South,South
1,12,0,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,19,22,25,0,-1,-8,South,South
1,11,0,0,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6,18,21,26,0,-1,-9,South,South
1,10,0,0,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,17,20,27,0,-1,-10,South,South
1,9,0,0,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,16,19,28,0,-1,-11,South,South
1,8,0,0,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,15,18,29,0,-1,-12,South,South
1,7,0,0,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6,14,17,30,0,-1,-13,South,South
1,6,0,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,13,16,31,0,-1,-14,South,East
2,6,1,1,0,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6,12,15,30,0,-1,-15,East,East
3,6,1,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,11,14,29,0,-1,-16,East,East
4,6,1,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,10,13,28,0,-1,-17,East,North
