@relation pacman-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R7-44

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
1,18,0,1,0,1,0,-1,-2,Stop,South
1,17,0,0,1,1,0,-1,-3,South,South
1,16,0,1,1,1,0,-1,-4,South,South
1,15,0,1,1,1,0,-1,-5,South,South
1,14,0,1,1,1,0,-1,-6,South,South
1,13,0,0,1,1,0,-1,-7,South,South
1,12,0,1,1,1,0,-1,-8,South,South
1,11,0,0,1,1,0,-1,-9,South,South
1,10,0,0,1,1,0,-1,-10,South,South
1,9,0,0,1,1,0,-1,-11,South,South
1,8,0,0,1,1,0,-1,-12,South,South
1,7,0,0,1,1,0,-1,-13,South,South
1,6,0,1,1,1,0,-1,-14,South,East
2,6,1,1,0,1,0,-1,-15,East,East
3,6,1,1,1,1,0,-1,-16,East,East
4,6,1,1,1,1,0,-1,-17,East,North
4,7,1,1,1,1,0,-1,-18,North,North
4,8,1,1,1,1,0,-1,-19,North,North
4,9,1,1,1,1,0,-1,-20,North,North
4,10,1,1,0,1,0,-1,-21,North,South
4,9,1,1,1,1,0,-1,-22,South,South
4,8,1,1,1,1,0,-1,-23,South,East
5,8,1,1,1,1,0,-1,-24,East,North
5,9,1,1,1,1,0,-1,175,North,East
6,9,1,0,1,1,0,-1,174,East,South
6,8,1,0,1,1,0,-1,173,South,South
6,7,1,0,1,1,0,-1,172,South,South
6,6,1,1,1,0,0,-1,171,South,East
7,6,1,1,0,0,0,-1,170,East,East
8,6,1,1,1,1,0,-1,169,East,East
9,6,1,1,1,1,0,-1,168,East,South
9,5,1,1,1,1,0,-1,167,South,South
9,4,1,1,1,1,0,-1,166,South,East
10,4,1,1,1,1,0,-1,165,East,East
11,4,1,0,1,1,0,-1,164,East,South
11,3,1,0,1,0,0,-1,363,South,North
11,4,1,0,1,1,0,-1,362,North,North
11,5,1,0,1,1,0,-1,361,North,North
11,6,1,0,1,1,0,-1,360,North,North
11,7,1,0,1,1,0,-1,359,North,North
11,8,1,0,1,1,0,-1,358,North,North
11,9,1,0,1,1,0,-1,357,North,North
11,10,1,0,1,1,0,-1,356,North,North
11,11,1,0,1,1,0,-1,355,North,North
11,12,1,1,0,1,0,-1,354,North,East
12,12,1,1,0,0,0,-1,353,East,East
13,12,1,1,0,1,0,-1,352,East,East
14,12,1,1,1,1,0,-1,351,East,South
14,11,1,1,1,1,0,-1,350,South,South
14,10,1,1,1,1,0,-1,349,South,South
14,9,1,0,1,1,0,-1,348,South,South
14,8,1,1,1,1,0,-1,347,South,South
14,7,1,0,1,1,0,-1,346,South,South
14,6,1,1,1,1,0,-1,345,South,East
15,6,1,1,0,0,0,-1,344,East,East
16,6,1,1,0,0,0,-1,343,East,East
17,6,1,1,0,1,0,-1,542,East,East
18,6,1,1,0,1,0,-1,541,East,West
17,6,1,1,0,1,0,-1,540,West,West
16,6,1,1,0,0,0,-1,539,West,West
15,6,1,1,0,0,0,-1,538,West,West
14,6,1,1,1,1,0,-1,537,West,North
14,7,1,0,1,1,0,-1,536,North,North
14,8,1,1,1,1,0,-1,535,North,North
14,9,1,0,1,1,0,-1,534,North,North
14,10,1,1,1,1,0,-1,533,North,North
14,11,1,1,1,1,0,-1,532,North,North
14,12,1,1,1,1,0,-1,531,North,North
14,13,0,0,1,1,0,-1,530,North,North
14,14,1,1,1,1,0,-1,529,North,East
15,14,1,1,1,0,0,-1,528,East,East
16,14,1,1,1,0,0,-1,527,East,East
17,14,1,1,1,1,0,-1,526,East,East
18,14,1,1,0,1,0,-1,525,East,East
19,14,1,1,0,1,0,-1,524,East,East
20,14,1,0,1,1,0,-1,523,East,North
20,15,0,1,1,1,0,-1,522,North,East
21,15,1,1,1,0,0,-1,521,East,East
22,15,1,1,1,1,0,-1,520,East,East
23,15,1,1,1,1,0,-1,519,East,East
24,15,1,1,1,1,0,-1,518,East,South
24,14,1,1,1,0,0,-1,517,South,South
24,14,1,1,1,0,0,-1,516,South,East
25,14,1,0,1,1,0,-1,515,East,South
15,7,1,1,1,0,217,1,-1,Stop,East
16,7,1,1,0,0,216,1,98,East,East
17,7,1,1,0,0,215,1,197,East,East
18,7,1,1,0,0,214,1,296,East,East
19,7,1,1,0,0,213,1,395,East,East
20,7,1,1,0,0,212,1,494,East,East
21,7,1,1,0,1,211,1,593,East,East
22,7,1,1,1,0,210,1,692,East,East
23,7,1,1,0,0,209,1,791,East,East
24,7,1,1,0,0,208,1,890,East,East
25,7,1,1,0,0,207,1,989,East,East
26,7,1,1,0,0,206,1,1088,East,East
27,7,1,1,0,0,205,1,1187,East,East
28,7,1,1,0,0,204,1,1286,East,East
29,7,1,0,0,1,203,1,1385,East,South
29,6,0,0,1,1,202,1,1484,South,South
29,5,0,0,1,1,201,1,1583,South,South
29,4,0,0,1,1,200,1,1682,South,South
29,3,1,0,1,1,199,1,1781,South,West
28,3,1,1,0,0,198,1,1880,West,West
27,3,1,1,0,0,197,1,1979,West,West
26,3,1,1,0,0,196,1,2078,West,West
25,3,1,1,0,0,195,2,2177,West,West
24,3,0,1,0,0,195,3,2376,West,East
25,3,1,1,0,0,195,2,2375,East,East
26,3,1,1,0,0,195,2,2374,East,East
27,3,1,1,0,0,195,2,2373,East,East
28,3,1,1,0,0,195,2,2372,East,East
29,3,1,0,1,1,195,1,2371,East,North
29,4,0,0,1,1,195,2,2370,North,North
29,5,0,0,1,1,195,3,2369,North,North
29,6,0,0,1,1,195,4,2368,North,North
29,7,1,0,0,1,195,4,2367,North,West
28,7,1,1,0,0,195,3,2366,West,West
27,7,1,1,0,0,195,3,2365,West,West
26,7,1,1,0,0,195,3,2364,West,West
25,7,1,1,0,0,195,3,2363,West,West
24,7,1,1,0,0,195,2,2362,West,West
23,7,1,1,0,0,195,2,2361,West,West
22,7,1,1,1,0,195,1,2360,West,North
22,8,0,0,1,1,194,1,2459,North,North
22,9,1,1,0,1,193,1,2558,North,East
23,9,1,1,0,0,192,1,2657,East,East
24,9,1,0,1,0,191,1,2756,East,North
24,10,0,1,1,1,190,1,2855,North,North
24,11,1,0,1,1,189,1,2954,North,North
24,12,0,0,1,1,188,1,3053,North,North
24,13,0,0,1,1,187,1,3152,North,North
24,14,0,0,1,1,186,1,3251,North,North
24,15,0,1,0,1,185,1,3350,North,East
25,15,1,1,0,0,184,1,3449,East,East
26,15,1,1,0,0,183,1,3548,East,East
27,15,1,1,0,0,182,1,3647,East,East
28,15,1,1,0,0,181,1,3746,East,East
29,15,1,0,1,1,180,1,3845,East,North
29,16,0,0,1,1,179,2,3944,North,North
29,17,1,0,0,1,179,1,3943,North,West
28,17,1,1,0,0,178,1,4042,West,West
27,17,1,1,0,0,177,1,4141,West,West
26,17,1,1,0,0,176,1,4240,West,West
25,17,1,1,0,0,175,1,4339,West,West
24,17,1,1,0,0,174,1,4438,West,West
23,17,1,1,0,0,173,2,4537,West,West
22,17,1,1,0,0,173,1,4736,West,West
21,17,1,1,0,0,172,1,4835,West,West
20,17,1,1,0,0,171,1,4934,West,West
19,17,1,1,0,0,170,1,5033,West,West
18,17,1,1,0,0,169,1,5132,West,West
17,17,1,1,0,0,168,1,5231,West,West
16,17,1,1,0,0,167,1,5330,West,West
15,17,1,1,0,0,166,1,5429,West,West
14,17,1,1,0,0,165,1,5528,West,West
13,17,0,1,0,1,164,1,5627,West,South
13,16,0,0,1,1,163,1,5726,South,South
13,15,0,0,1,1,162,1,5825,South,South
13,14,0,0,1,1,161,1,5924,South,South
13,13,0,0,1,1,160,1,6023,South,South
13,12,0,0,1,1,159,1,6122,South,South
13,11,1,1,1,0,158,1,6221,South,West
12,11,1,1,0,0,157,1,6320,West,West
11,11,1,1,1,0,156,1,6419,West,North
11,12,0,0,1,1,155,1,6518,North,North
11,13,0,0,1,1,154,1,6617,North,North
11,14,1,0,1,1,153,1,6716,North,North
11,15,0,0,1,1,152,1,6815,North,North
11,16,0,0,1,1,151,1,6914,North,North
11,17,1,0,0,1,150,1,7013,North,West
10,17,1,1,0,0,149,1,7112,West,West
9,17,1,1,0,0,148,1,7211,West,West
8,17,1,1,0,0,147,1,7310,West,West
7,17,1,1,0,0,146,1,7409,West,West
6,17,1,1,0,0,145,2,7508,West,West
5,17,1,1,0,0,145,1,7707,West,East
6,17,1,1,0,0,145,2,7706,East,East
7,17,1,1,0,0,145,3,7705,East,East
8,17,1,1,0,0,145,3,7704,East,East
9,17,1,1,0,0,145,3,7703,East,East
10,17,1,1,0,0,145,3,7702,East,East
11,17,1,0,0,1,145,4,7701,East,South
11,16,0,0,1,1,145,3,7700,South,South
11,15,0,0,1,1,145,2,7699,South,South
11,14,1,0,1,1,145,1,7698,South,South
11,13,0,0,1,1,145,2,7697,South,South
11,12,0,0,1,1,145,2,7696,South,South
11,11,1,1,1,0,145,1,7695,South,West
10,11,1,1,0,0,144,1,7794,West,West
9,11,1,1,0,0,143,1,7893,West,West
8,11,0,1,0,1,142,1,7992,West,South
8,10,1,0,1,1,141,1,8091,South,South
8,9,0,1,1,1,140,1,8190,South,South
8,8,0,0,1,1,139,1,8289,South,South
8,7,1,1,1,1,138,1,8388,South,South
8,6,0,0,1,1,137,1,8487,South,South
8,5,0,1,1,1,136,1,8586,South,South
8,4,0,1,1,1,135,1,8685,South,South
8,3,1,1,1,0,134,1,8784,South,West
7,3,1,1,0,0,133,1,8883,West,West
6,3,1,1,0,0,132,1,8982,West,West
5,3,1,1,0,0,131,1,9081,West,West
4,3,1,1,0,0,130,2,9180,West,West
3,3,1,1,0,0,130,1,9179,West,West
2,3,1,1,0,0,129,2,9278,West,West
12,10,1,1,0,0,0,-1,-2,Stop,East
13,10,1,1,0,1,0,-1,-3,East,East
14,10,1,1,0,1,0,-1,-4,East,South
14,9,1,1,1,1,0,-1,-5,South,South
14,8,1,1,1,1,0,-1,-6,South,South
14,7,0,1,1,1,0,-1,-7,South,South
14,6,1,1,1,1,0,-1,-8,South,South
14,5,1,1,1,1,0,-1,-9,South,West
13,5,1,1,1,1,0,-1,-10,West,North
13,6,1,1,0,1,0,-1,189,North,West
